+	153	25	1760552559
+	142	63	1760552559
+	22	95	1760552559
+	29	170	1760552559
+	176	195	1760552559
+	200	63	1760552559
+	194	195	1760552559
+	195	101	1760552559
+	146	145	1760552559
+	116	58	1760552559
+	69	119	1760552559
+	150	198	1760552559
+	140	46	1760552559
+	199	144	1760552559
+	8	46	1760552559
+	114	17	1760552559
+	183	182	1760552559
+	94	163	1760552559
+	131	138	1760552559
+	13	140	1760552559
+	87	140	1760552559
+	59	69	1760552559
+	171	199	1760552559
+	104	79	1760552559
+	136	13	1760552559
+	39	160	1760552559
+	35	91	1760552559
+	130	22	1760552559
+	114	198	1760552559
+	26	181	1760552559
+	109	71	1760552559
+	181	195	1760552559
+	166	28	1760552559
+	194	192	1760552559
+	23	63	1760552559
+	10	42	1760552559
+	48	119	1760552559
+	47	66	1760552559
+	18	168	1760552559
+	158	161	1760552559
+	199	121	1760552559
+	176	198	1760552559
+	194	185	1760552559
+	136	33	1760552559
+	183	22	1760552559
+	119	105	1760552559
+	174	182	1760552559
+	90	178	1760552559
+	147	199	1760552559
+	159	14	1760552559
+	111	142	1760552559
+	115	67	1760552559
+	75	124	1760552559
+	150	193	1760552559
+	179	168	1760552559
+	129	182	1760552559
+	159	145	1760552559
+	181	191	1760552559
+	143	49	1760552559
+	181	189	1760552559
+	118	46	1760552559
+	166	95	1760552559
+	194	181	1760552559
+	191	82	1760552559
+	176	189	1760552559
+	170	178	1760552559
+	25	125	1760552559
+	177	147	1760552559
+	170	37	1760552559
+	181	185	1760552559
+	11	178	1760552559
+	84	31	1760552559
+	195	82	1760552559
+	144	145	1760552559
+	89	12	1760552559
+	183	185	1760552559
+	50	90	1760552559
+	75	98	1760552559
+	113	174	1760552559
+	138	182	1760552559
+	24	163	1760552559
+	187	131	1760552559
+	196	176	1760552559
+	92	38	1760552559
+	200	51	1760552559
+	146	168	1760552559
+	194	191	1760552559
+	57	111	1760552559
+	8	114	1760552559
+	132	104	1760552559
+	133	41	1760552559
+	29	2	1760552559
+	183	125	1760552559
+	97	170	1760552559
+	179	159	1760552559
+	112	199	1760552559
+	3	168	1760552559
+	120	178	1760552559
+	86	160	1760552559
+	139	189	1760552559
+	72	151	1760552559
+	187	113	1760552559
+	166	67	1760552559
+	34	149	1760552559
+	196	138	1760552559
+	87	33	1760552559
+	194	139	1760552559
+	122	111	1760552559
+	194	193	1760552559
+	85	119	1760552559
+	194	138	1760552559
+	104	44	1760552559
+	120	14	1760552559
+	88	160	1760552559
+	166	83	1760552559
+	110	40	1760552559
+	81	57	1760552559
+	115	178	1760552559
+	107	85	1760552559
+	198	82	1760552559
+	102	160	1760552559
+	122	192	1760552559
+	71	42	1760552559
+	11	92	1760552559
+	128	197	1760552559
+	30	184	1760552559
+	110	15	1760552559
+	196	56	1760552559
+	110	192	1760552559
+	156	188	1760552559
+	188	184	1760552559
+	186	189	1760552559
+	189	101	1760552559
+	170	41	1760552559
+	179	145	1760552559
+	136	158	1760552559
+	59	96	1760552559
+	188	70	1760552559
+	139	65	1760552559
+	37	95	1760552559
+	106	91	1760552559
+	154	125	1760552559
+	156	163	1760552559
+	122	40	1760552559
+	132	175	1760552559
+	170	115	1760552559
+	194	186	1760552559
+	191	172	1760552559
+	26	193	1760552559
+	20	98	1760552559
+	179	197	1760552559
+	187	103	1760552559
+	166	178	1760552559
+	109	10	1760552559
+	197	158	1760552559
+	159	188	1760552559
+	13	161	1760552559
+	187	4	1760552559
+	169	145	1760552559
+	192	193	1760552559
+	188	22	1760552559
+	167	159	1760552559
+	193	172	1760552559
+	88	133	1760552559
+	180	14	1760552559
+	165	13	1760552559
+	72	20	1760552559
+	133	160	1760552559
+	199	152	1760552559
+	23	51	1760552559
+	195	150	1760552559
+	107	105	1760552559
+	200	184	1760552559
+	71	108	1760552559
+	191	7	1760552559
+	165	46	1760552559
+	83	117	1760552559
+	198	101	1760552559
+	140	161	1760552559
+	116	141	1760552559
+	156	184	1760552559
+	6	152	1760552559
+	196	197	1760552559
+	80	91	1760552559
+	165	140	1760552559
+	177	45	1760552559
+	133	129	1760552559
+	133	43	1760552559
+	76	161	1760552559
+	74	141	1760552559
+	74	116	1760552559
+	138	103	1760552559
+	167	126	1760552559
+	104	162	1760552559
+	114	161	1760552559
+	188	125	1760552559
+	195	145	1760552559
+	159	180	1760552559
+	90	120	1760552559
+	196	17	1760552559
+	136	76	1760552559
+	130	52	1760552559
+	170	2	1760552559
+	131	79	1760552559
+	59	53	1760552559
+	129	190	1760552559
+	19	188	1760552559
+	199	180	1760552559
+	93	186	1760552559
+	78	91	1760552559
+	53	119	1760552559
+	153	36	1760552559
+	109	24	1760552559
+	129	160	1760552559
+	88	64	1760552559
+	191	185	1760552559
+	16	200	1760552559
+	200	137	1760552559
+	56	79	1760552559
+	182	125	1760552559
+	199	168	1760552559
+	104	175	1760552559
+	196	158	1760552559
+	62	11	1760552559
+	48	85	1760552559
+	197	182	1760552559
+	122	49	1760552559
+	177	199	1760552559
+	166	29	1760552559
+	195	138	1760552559
+	183	153	1760552559
+	193	82	1760552559
+	132	121	1760552559
+	188	153	1760552559
+	85	105	1760552559
+	84	163	1760552559
+	62	38	1760552559
+	179	126	1760552559
+	199	175	1760552559
+	164	182	1760552559
+	187	154	1760552559
+	167	123	1760552559
+	99	184	1760552559
+	150	172	1760552559
+	162	175	1760552559
+	153	121	1760552559
+	55	182	1760552559
+	89	189	1760552559
+	177	132	1760552559
+	199	42	1760552559
+	80	141	1760552559
+	195	191	1760552559
+	26	191	1760552559
+	79	197	1760552559
+	137	160	1760552559
+	164	17	1760552559
+	72	123	1760552559
+	129	200	1760552559
+	114	136	1760552559
+	128	34	1760552559
+	110	51	1760552559
+	196	113	1760552559
+	167	144	1760552559
+	143	96	1760552559
+	170	122	1760552559
+	132	112	1760552559
+	93	137	1760552559
+	171	147	1760552559
